Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-08-03;51,278;53,492;51,647;53,492;50,54;53,492;51,708;280,55813449170864;14507;7;
2020-07-31;51,278;56,074;49,803;56,074;49,803;56,074;53,837;1930,0231087738795;103907;16;
2020-07-30;49,803;52,016;49,803;53,123;49,803;49,803;51,424;393,0524589497367;20212,5;6;
2020-07-29;51,647;52,016;48,696;51,647;48,696;51,647;51,484;613,9750479456233;31610;6;
2020-07-28;49,803;50,54;50,171;50,171;49,803;49,803;50,011;143,66745051266238;7185;3;
2020-07-27;49,803;50,171;55,336;55,336;50,909;50,909;51,616;2766,2760990221127;142785;18;
2020-07-24;53,123;55,336;55,336;55,336;55,336;55,336;55,336;372,7221593488883;20625;3;
2020-07-23;53,492;55,705;55,336;55,705;52,754;55,705;54,239;2523,6678571186544;136881,5;23;
2020-07-22;52,385;54,598;53,123;54,598;51,278;54,598;53,712;2489,7840244505737;133732,5;23;
2020-07-21;51,278;52,385;46,482;54,598;46,482;51,647;51,345;6127,552299695723;314618,5;43;
2020-07-20;46,113;48,327;48,327;48,327;46,482;48,327;46,898;1137,14142434079;53329,5;6;
2020-07-17;45,745;46,851;47,22;47,589;45,745;47,589;47,145;246,67430182362787;11629,5;6;
2020-07-16;45,376;47,589;45,745;47,589;45,376;46,851;47,02;1175,0913169290404;55252,5;9;
2020-07-15;46,482;46,851;45,376;47,589;45,376;47,589;47,142;134,17997736559977;6325,5;6;
2020-07-14;45,745;46,482;45,007;47,22;45,007;47,22;46,575;48,79271904203628;2272,5;3;
2020-07-13;45,376;46,482;47,22;47,589;46,482;47,589;47,027;1241,5036289584786;58384;9;
2020-07-10;46,851;47,958;47,958;48,327;47,958;48,327;48,295;94,8747314706261;4582;3;
2020-07-09;46,851;47,958;;;;47,958;;;;0;
2020-07-08;46,851;47,958;47,958;47,958;47,22;47,958;47,598;55,569485575652436;2645;3;
2020-07-07;46,851;47,958;46,851;47,22;46,851;47,22;47,167;9,48747314706261;447,5;2;
2020-07-06;47,22;47,958;47,22;47,958;47,22;47,958;47,425;493,34860364725574;23397;5;
2020-07-03;47,22;47,589;47,958;49,434;46,851;46,851;47,253;620,7518144792393;29332,5;6;
2020-07-02;48,327;49,065;54,967;54,967;45,376;49,065;48,705;8260,878404478087;402347;44;
2020-07-01;56,812;57,181;57,55;59,394;56,812;57,181;58,584;2774,408218862452;162536,5;21;
2020-06-30;57,181;57,55;55,336;57,55;55,336;57,181;56,159;1452,9387448073025;81595;15;
2020-06-29;53,86;55,336;53,86;56,812;53,492;55,336;54,641;1820,239490929298;99459,5;12;
2020-06-26;51,278;52,385;53,86;54,229;52,385;53,492;53,469;355,10256636148625;18987;9;
2020-06-25;51,647;52,754;54,598;54,598;51,647;53,492;51,74;455,3987110590053;23562,5;7;
2020-06-24;51,647;52,754;53,492;53,86;53,492;53,86;53,528;203,3029960084845;10882,5;2;
2020-06-23;51,647;52,385;52,754;54,229;50,909;53,123;52,38;2264,7953755345174;118629;16;
2020-06-22;52,385;54,229;53,492;54,598;52,385;54,598;53,722;2819,134877984319;151449,5;17;
2020-06-19;50,171;52,385;50,171;52,385;50,171;52,385;50,185;375,43286596233474;18841;3;
2020-06-18;51,647;52,385;51,278;52,385;51,278;52,385;51,557;1602,027608546858;82595,5;7;
2020-06-17;53,123;53,492;51,278;53,492;51,278;53,492;51,292;215,5011757689936;11053,5;3;
2020-06-16;51,278;53,492;53,492;53,492;51,647;53,492;52,252;82,67655171011704;4320;5;
2020-06-15;51,647;52,385;53,86;53,86;52,016;52,385;52,57;451,3326511388356;23726,5;6;
2020-06-12;51,278;52,016;50,54;52,016;48,696;52,016;50,786;2178,0527639042307;110615;9;
2020-06-11;50,909;52,385;52,016;52,754;50,54;50,909;51,678;1306,5605876811937;67520;21;
2020-06-10;50,909;51,278;51,278;51,647;49,434;51,278;51,082;5233,019117258391;267312;18;
2020-06-09;49,803;50,54;51,647;51,647;49,434;50,54;49,969;432,3577048447104;21604,5;7;
2020-06-08;49,434;50,171;52,385;52,385;49,065;49,065;52,317;1016,5149800424225;53181;5;
2020-06-04;50,54;50,909;55,336;55,336;49,434;50,54;51,139;6394,5569011202;327011,5;23;
2020-06-03;49,803;50,909;45,745;54,598;45,745;54,598;49,712;2018,1210737108895;100325;17;
2020-06-02;45,376;47,22;44,638;47,22;43,531;47,22;45,83;2687,6656072321652;123175;21;
2020-05-29;42,793;43,90;46,851;46,851;43,90;44,638;44,141;1139,8521309542366;50314,5;11;
2020-05-28;42,424;43,531;43,90;43,90;42,793;43,90;43,201;77,25513848322411;3337,5;6;
2020-05-27;42,424;43,531;42,793;43,90;42,793;43,531;43,12;199,23693608831482;8591;6;
2020-05-26;42,424;43,162;43,90;43,90;42,793;43,90;43,246;214,14582246227036;9261;6;
2020-05-25;43,531;43,90;43,90;43,90;42,793;43,531;43,433;341,549033294254;14834,5;8;
2020-05-20;42,424;43,90;42,793;43,90;42,793;43,90;43,07;5,421413226892921;233,5;2;
2020-05-19;42,424;43,90;;;;43,90;;;;0;
2020-05-18;42,424;43,90;43,162;43,90;42,055;43,90;43,624;1279,4535215467292;55814,5;12;
2020-05-15;42,793;43,531;42,793;43,531;42,793;43,531;42,799;182,97269640763605;7831;4;
2020-05-14;42,793;43,531;43,531;43,531;42,793;43,531;43,271;23,04100621429491;997;3;
2020-05-13;42,793;43,531;43,531;43,531;42,793;43,531;43,203;24,39635952101814;1054;4;
2020-05-12;42,793;43,531;43,531;43,531;42,793;43,531;42,838;157,2209835798947;6735;5;
2020-05-11;43,162;43,531;43,531;43,531;43,162;43,531;43,415;47,43736573531305;2059,5;4;
2020-05-07;43,162;43,531;42,793;43,531;42,055;43,531;42,897;725,1140190969281;31105,5;13;
2020-05-06;41,687;42,424;42,793;42,793;41,687;42,793;42,541;231,76541544967233;9859,5;7;
2020-05-05;40,949;42,055;42,424;42,424;41,318;41,318;41,374;97,58543808407256;4037,5;4;
2020-05-04;40,949;42,055;40,949;42,793;40,949;40,949;41,115;375,43286596233474;15436;5;
2020-05-01;40,949;42,793;43,90;43,90;43,90;43,90;43,90;135,535330672323;5950;2;
2020-04-30;42,055;42,793;42,424;42,793;41,687;42,793;42,493;431,0023515379872;18314,5;7;
2020-04-29;41,318;42,055;43,90;43,90;42,793;42,793;42,894;14,90888637395553;639,5;2;
2020-04-28;40,949;42,055;40,949;42,424;40,949;42,055;41,034;123,33715091181393;5061;8;
2020-04-27;40,949;42,055;42,055;42,055;42,055;42,055;42,055;13,553533067232301;570;1;
2020-04-24;40,58;41,687;44,269;44,269;44,269;44,269;44,269;13,553533067232301;600;2;
2020-04-23;40,58;41,687;42,055;42,055;42,055;42,055;42,055;1,3553533067232301;57;1;
2020-04-22;41,318;41,687;42,055;42,055;41,318;41,318;41,521;54,214132268929205;2251;4;
2020-04-21;40,58;41,318;40,949;42,055;40,58;42,055;40,741;475,72901065985377;19381,5;3;
2020-04-20;41,318;41,687;41,318;41,687;41,318;41,687;41,664;21,685652907571683;903,5;2;
2020-04-17;41,318;42,424;;;;42,424;;;;0;
2020-04-16;41,318;42,055;42,424;42,424;42,424;42,424;42,424;89,45331824373318;3795;1;
2020-04-15;41,687;42,055;42,424;42,424;41,318;41,318;41,851;517,7449631682739;21668;9;
2020-04-14;40,949;42,055;42,424;42,793;40,949;42,793;42,24;996,1846804415741;42079;10;
2020-04-08;41,318;41,687;42,055;42,055;39,842;41,318;41,297;1780,9342450343242;73548;10;
2020-04-07;42,055;43,162;43,531;44,269;42,055;43,162;43,751;1210,3305029038445;52953,5;11;
2020-04-06;41,687;42,424;40,949;47,22;40,949;43,531;43,07;374,0775126556115;16111,5;9;
2020-04-03;41,318;42,055;43,162;43,162;41,318;43,162;42,021;387,6310457228438;16288,5;6;
2020-04-02;41,687;42,424;42,055;43,531;42,055;43,162;42,969;59,63554549582212;2562,5;4;
2020-04-01;42,055;42,424;41,687;43,531;41,318;43,162;42,152;657,3463537607665;27708,5;8;
2020-03-31;41,318;42,055;43,531;43,531;43,531;43,531;43,531;169,41916334040377;7375;1;
2020-03-30;41,318;41,687;43,162;43,162;43,162;43,162;43,162;73,18907856305442;3159;3;
2020-03-27;42,055;42,793;43,531;43,531;43,531;43,531;43,531;341,549033294254;14868;5;
2020-03-26;42,055;42,424;43,162;43,162;42,424;43,162;42,745;532,6538495422294;22768,5;7;
2020-03-25;42,055;42,424;42,055;43,90;42,055;42,055;42,24;513,6789032481042;21698;8;
2020-03-24;42,055;43,162;41,318;50,54;41,318;44,269;48,77;2880,1257767868637;140462,5;6;
2020-03-23;41,318;43,162;44,269;44,269;42,055;42,055;42,857;284,6241944118783;12198;6;
2020-03-20;42,055;43,162;44,269;45,376;43,531;43,531;43,94;1055,8202259373963;46393;8;
2020-03-19;44,269;45,007;45,745;45,745;45,745;45,745;45,745;43,371305815143366;1984;2;
2020-03-18;44,269;45,007;46,113;46,113;44,269;44,269;44,397;292,7563142522177;12997,5;4;
2020-03-17;44,269;45,007;46,482;46,851;44,269;44,269;45,402;1695,5469867107608;76981;15;
2020-03-16;46,851;47,958;48,696;48,696;46,851;46,851;47,321;494,703956953979;23410;5;
2020-03-13;48,327;49,434;53,86;53,86;48,327;49,065;50,143;693,9408930422938;34796,5;7;
2020-03-12;48,327;49,434;51,647;51,647;48,327;48,327;49,837;257,5171282774137;12834;5;
2020-03-11;51,647;52,385;51,647;51,647;51,647;51,647;51,647;89,45331824373318;4620;2;
2020-03-10;51,647;52,385;48,696;52,754;48,696;51,647;51,271;1275,3874616265595;65390,5;10;
2020-03-09;48,696;49,803;48,696;57,181;44,269;49,803;50,321;1851,4126169839323;93164,5;16;
2020-03-06;52,016;53,123;53,123;53,86;52,016;53,86;52,722;1593,8954887065185;84033;11;
2020-03-05;53,123;53,492;53,123;54,967;52,385;53,123;53,90;3115,957252156706;167950,5;20;
2020-03-04;48,696;49,434;52,016;52,016;48,696;48,696;50,12;4076,902746623476;204334,5;15;
2020-03-03;52,754;59,025;52,016;52,016;50,909;52,016;51,318;2270,2167887614105;116504;15;
2020-03-02;52,016;52,385;51,278;52,385;51,278;52,016;51,832;338,83832668080754;17562,5;4;
2020-02-28;51,647;53,123;55,336;59,025;52,385;52,385;56,217;2442,3466587152607;137302,5;9;
2020-02-27;53,123;53,492;58,287;58,656;53,123;54,229;55,433;5052,757127464201;280091,5;16;
2020-02-26;56,074;57,55;57,55;57,55;56,074;57,55;57,279;393,0524589497367;22513,5;5;
2020-02-25;57,55;57,918;57,55;59,025;57,55;58,287;58,07;2061,492379526033;119710;9;
2020-02-24;57,55;57,918;57,181;57,55;55,336;57,55;56,791;2937,0506156692395;166798;13;
